Generating simulation configurations...
Running 200 simulations...
Running configuration 1/200: Belt Length=2, Workers=2, Strategy='individual'
Running configuration 2/200: Belt Length=2, Workers=2, Strategy='team'
Running configuration 3/200: Belt Length=3, Workers=2, Strategy='individual'
Running configuration 4/200: Belt Length=3, Workers=2, Strategy='team'
Running configuration 5/200: Belt Length=4, Workers=2, Strategy='individual'
Running configuration 6/200: Belt Length=4, Workers=2, Strategy='team'
Running configuration 7/200: Belt Length=4, Workers=4, Strategy='individual'
Running configuration 8/200: Belt Length=4, Workers=4, Strategy='team'
Running configuration 9/200: Belt Length=5, Workers=2, Strategy='individual'
Running configuration 10/200: Belt Length=5, Workers=2, Strategy='team'
Running configuration 11/200: Belt Length=5, Workers=4, Strategy='individual'
Running configuration 12/200: Belt Length=5, Workers=4, Strategy='team'
Running configuration 13/200: Belt Length=6, Workers=2, Strategy='individual'
Running configuration 14/200: Belt Length=6, Workers=2, Strategy='team'
Running configuration 15/200: Belt Length=6, Workers=4, Strategy='individual'
Running configuration 16/200: Belt Length=6, Workers=4, Strategy='team'
Running configuration 17/200: Belt Length=6, Workers=6, Strategy='individual'
Running configuration 18/200: Belt Length=6, Workers=6, Strategy='team'
Running configuration 19/200: Belt Length=7, Workers=2, Strategy='individual'
Running configuration 20/200: Belt Length=7, Workers=2, Strategy='team'
Running configuration 21/200: Belt Length=7, Workers=4, Strategy='individual'
Running configuration 22/200: Belt Length=7, Workers=4, Strategy='team'
Running configuration 23/200: Belt Length=7, Workers=6, Strategy='individual'
Running configuration 24/200: Belt Length=7, Workers=6, Strategy='team'
Running configuration 25/200: Belt Length=8, Workers=2, Strategy='individual'
Running configuration 26/200: Belt Length=8, Workers=2, Strategy='team'
Running configuration 27/200: Belt Length=8, Workers=4, Strategy='individual'
Running configuration 28/200: Belt Length=8, Workers=4, Strategy='team'
Running configuration 29/200: Belt Length=8, Workers=6, Strategy='individual'
Running configuration 30/200: Belt Length=8, Workers=6, Strategy='team'
Running configuration 31/200: Belt Length=8, Workers=8, Strategy='individual'
Running configuration 32/200: Belt Length=8, Workers=8, Strategy='team'
Running configuration 33/200: Belt Length=9, Workers=2, Strategy='individual'
Running configuration 34/200: Belt Length=9, Workers=2, Strategy='team'
Running configuration 35/200: Belt Length=9, Workers=4, Strategy='individual'
Running configuration 36/200: Belt Length=9, Workers=4, Strategy='team'
Running configuration 37/200: Belt Length=9, Workers=6, Strategy='individual'
Running configuration 38/200: Belt Length=9, Workers=6, Strategy='team'
Running configuration 39/200: Belt Length=9, Workers=8, Strategy='individual'
Running configuration 40/200: Belt Length=9, Workers=8, Strategy='team'
Running configuration 41/200: Belt Length=10, Workers=2, Strategy='individual'
Running configuration 42/200: Belt Length=10, Workers=2, Strategy='team'
Running configuration 43/200: Belt Length=10, Workers=4, Strategy='individual'
Running configuration 44/200: Belt Length=10, Workers=4, Strategy='team'
Running configuration 45/200: Belt Length=10, Workers=6, Strategy='individual'
Running configuration 46/200: Belt Length=10, Workers=6, Strategy='team'
Running configuration 47/200: Belt Length=10, Workers=8, Strategy='individual'
Running configuration 48/200: Belt Length=10, Workers=8, Strategy='team'
Running configuration 49/200: Belt Length=10, Workers=10, Strategy='individual'
Running configuration 50/200: Belt Length=10, Workers=10, Strategy='team'
Running configuration 51/200: Belt Length=11, Workers=2, Strategy='individual'
Running configuration 52/200: Belt Length=11, Workers=2, Strategy='team'
Running configuration 53/200: Belt Length=11, Workers=4, Strategy='individual'
Running configuration 54/200: Belt Length=11, Workers=4, Strategy='team'
Running configuration 55/200: Belt Length=11, Workers=6, Strategy='individual'
Running configuration 56/200: Belt Length=11, Workers=6, Strategy='team'
Running configuration 57/200: Belt Length=11, Workers=8, Strategy='individual'
Running configuration 58/200: Belt Length=11, Workers=8, Strategy='team'
Running configuration 59/200: Belt Length=11, Workers=10, Strategy='individual'
Running configuration 60/200: Belt Length=11, Workers=10, Strategy='team'
Running configuration 61/200: Belt Length=12, Workers=2, Strategy='individual'
Running configuration 62/200: Belt Length=12, Workers=2, Strategy='team'
Running configuration 63/200: Belt Length=12, Workers=4, Strategy='individual'
Running configuration 64/200: Belt Length=12, Workers=4, Strategy='team'
Running configuration 65/200: Belt Length=12, Workers=6, Strategy='individual'
Running configuration 66/200: Belt Length=12, Workers=6, Strategy='team'
Running configuration 67/200: Belt Length=12, Workers=8, Strategy='individual'
Running configuration 68/200: Belt Length=12, Workers=8, Strategy='team'
Running configuration 69/200: Belt Length=12, Workers=10, Strategy='individual'
Running configuration 70/200: Belt Length=12, Workers=10, Strategy='team'
Running configuration 71/200: Belt Length=12, Workers=12, Strategy='individual'
Running configuration 72/200: Belt Length=12, Workers=12, Strategy='team'
Running configuration 73/200: Belt Length=13, Workers=2, Strategy='individual'
Running configuration 74/200: Belt Length=13, Workers=2, Strategy='team'
Running configuration 75/200: Belt Length=13, Workers=4, Strategy='individual'
Running configuration 76/200: Belt Length=13, Workers=4, Strategy='team'
Running configuration 77/200: Belt Length=13, Workers=6, Strategy='individual'
Running configuration 78/200: Belt Length=13, Workers=6, Strategy='team'
Running configuration 79/200: Belt Length=13, Workers=8, Strategy='individual'
Running configuration 80/200: Belt Length=13, Workers=8, Strategy='team'
Running configuration 81/200: Belt Length=13, Workers=10, Strategy='individual'
Running configuration 82/200: Belt Length=13, Workers=10, Strategy='team'
Running configuration 83/200: Belt Length=13, Workers=12, Strategy='individual'
Running configuration 84/200: Belt Length=13, Workers=12, Strategy='team'
Running configuration 85/200: Belt Length=14, Workers=2, Strategy='individual'
Running configuration 86/200: Belt Length=14, Workers=2, Strategy='team'
Running configuration 87/200: Belt Length=14, Workers=4, Strategy='individual'
Running configuration 88/200: Belt Length=14, Workers=4, Strategy='team'
Running configuration 89/200: Belt Length=14, Workers=6, Strategy='individual'
Running configuration 90/200: Belt Length=14, Workers=6, Strategy='team'
Running configuration 91/200: Belt Length=14, Workers=8, Strategy='individual'
Running configuration 92/200: Belt Length=14, Workers=8, Strategy='team'
Running configuration 93/200: Belt Length=14, Workers=10, Strategy='individual'
Running configuration 94/200: Belt Length=14, Workers=10, Strategy='team'
Running configuration 95/200: Belt Length=14, Workers=12, Strategy='individual'
Running configuration 96/200: Belt Length=14, Workers=12, Strategy='team'
Running configuration 97/200: Belt Length=14, Workers=14, Strategy='individual'
Running configuration 98/200: Belt Length=14, Workers=14, Strategy='team'
Running configuration 99/200: Belt Length=15, Workers=2, Strategy='individual'
Running configuration 100/200: Belt Length=15, Workers=2, Strategy='team'
Running configuration 101/200: Belt Length=15, Workers=4, Strategy='individual'
Running configuration 102/200: Belt Length=15, Workers=4, Strategy='team'
Running configuration 103/200: Belt Length=15, Workers=6, Strategy='individual'
Running configuration 104/200: Belt Length=15, Workers=6, Strategy='team'
Running configuration 105/200: Belt Length=15, Workers=8, Strategy='individual'
Running configuration 106/200: Belt Length=15, Workers=8, Strategy='team'
Running configuration 107/200: Belt Length=15, Workers=10, Strategy='individual'
Running configuration 108/200: Belt Length=15, Workers=10, Strategy='team'
